Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
16,77,9,65.57,122,52.45,2,0,64,4,0,0,13,0.81,34,38.23,rishank,UP,2013
,,,,,,,,,,,,,,,,,,
25,146,17,70.48,332,42.46,4,5,141,5.64,1,0,5,0.16,11,45.45,shrinkant,UP,2018
,,,,,,,,,,,,,,,,,,
19,98,13,74.7,170,50.58,2,2,86,4.52,2,0,12,0.52,22,54.54,shrinkant,UP,2017
,,,,,,,,,,,,,,,,,,
5,7,5,68.75,16,43.75,0,0,7,1.4,0,0,0,0,3,0,shrinkant,UP,2016
,,,,,,,,,,,,,,,,,,
5,10,7,57.14,35,28.57,0,0,10,2,0,0,0,0,1,0,shrinkant,UP,2015
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shrinkant,UP,2014
,,,,,,,,,,,,,,,,,,
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,surendersin,UP,2018
,,,,,,,,,,,,,,,,,,
18,70,11,73.28,131,51.9,2,2,68,3.77,0,0,2,0.11,23,8.69,surendersin,UP,2017
,,,,,,,,,,,,,,,,,,
11,11,3,58.13,43,20.93,0,0,9,0.81,0,0,2,0.18,8,25,surendersin,UP,2016
,,,,,,,,,,,,,,,,,,
12,45,9,74.52,106,41.5,2,0,44,3.66,0,0,1,0.08,11,9.09,surendersin,UP,2015
,,,,,,,,,,,,,,,,,,
2,8,6,62.5,16,31.25,0,0,5,2.5,0,0,3,1.5,6,50,surendersin,UP,2014
,,,,,,,,,,,,,,,,,,
14,6,2,0,0,0,0,0,0,0,1,0,6,0.35,31,19.35,amitsin,UP,2018
,,,,,,,,,,,,,,,,,,
19,56,7,77.67,112,25.89,0,0,29,1.52,2,0,27,1.31,52,51.92,mohsenm,UP,2018
,,,,,,,,,,,,,,,,,,
16,47,12,75.9,83,49.39,2,1,41,2.56,1,0,6,0.31,16,37.5,mohsenm,UP,2017
