Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanjaysh,bb,2013
,,,,,,,,,,,,,,,,,,
22,51,5,0,0,0,0,0,0,0,4,1,51,2.13,111,45.94,joginder,dabang,2018
,,,,,,,,,,,,,,,,,,
8,9,3,0,0,0,0,0,0,0,0,0,9,1.12,24,37.5,joginder,dabang,2017
,,,,,,,,,,,,,,,,,,
16,38,6,100,6,66.66,0,0,4,0.25,2,0,34,2,69,49.27,joginder,dabang,2016
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joginder,dabang,2015
,,,,,,,,,,,,,,,,,,
14,30,4,0,0,0,0,0,0,0,0,0,30,2.14,58,51.72,joginder,dabang,2014
,,,,,,,,,,,,,,,,,,
1,0,0,33.33,3,0,0,0,0,0,0,0,0,0,0,0,amankadian,dabang,2018
,,,,,,,,,,,,,,,,,,
24,158,11,76.89,316,48.41,3,3,153,6.37,1,0,5,0.16,15,33.33,chandranranjit,dabang,2018
,,,,,,,,,,,,,,,,,,
11,51,11,77.86,122,41.8,3,1,51,4.63,0,0,0,0,4,0,chandranranjit,dabang,2017
,,,,,,,,,,,,,,,,,,
1,1,1,62.5,8,0,0,0,0,0,0,0,1,1,2,50,chandranranjit,dabang,2014
,,,,,,,,,,,,,,,,,,
6,6,4,60,20,30,0,0,6,1,0,0,0,0,6,0,chandranranjit,dabang,2013
,,,,,,,,,,,,,,,,,,
22,177,15,79.47,307,56.02,3,8,172,7.81,1,0,5,0.18,12,41.66,naveenkumardd,dabang,2018
,,,,,,,,,,,,,,,,,,
1,0,0,100,1,0,0,0,0,0,0,0,0,0,1,0,sumitkumardd,dabang,2018
,,,,,,,,,,,,,,,,,,
22,38,6,0,0,0,0,0,0,0,2,3,38,1.63,95,40,vishalmane,dabang,2018
,,,,,,,,,,,,,,,,,,
26,39,6,100,1,0,0,0,0,0,3,1,39,1.38,113,34.51,vishalmane,dabang,2017
,,,,,,,,,,,,,,,,,,
14,31,6,0,1,0,0,0,0,0,3,2,31,2,66,46.96,vishalmane,dabang,2016
,,,,,,,,,,,,,,,,,,
13,16,3,0,0,0,0,0,0,0,0,0,16,1.23,35,45.71,vishalmane,dabang,2015
,,,,,,,,,,,,,,,,,,
14,26,5,0,0,0,0,0,0,0,0,1,26,1.85,53,49.05,vishalmane,dabang,2014
,,,,,,,,,,,,,,,,,,
16,20,5,0,0,0,0,0,0,0,1,1,20,1.18,65,30.76,vishalmane,dabang,2013
,,,,,,,,,,,,,,,,,,
22,59,6,0,0,0,0,0,0,0,3,4,59,2.54,125,47.2,ravinderpahal,dabang,2018
,,,,,,,,,,,,,,,,,,
19,54,7,83.33,6,33.33,0,0,2,0.1,3,3,52,2.57,104,50,ravinderpahal,dabang,2017
,,,,,,,,,,,,,,,,,,
14,37,6,0,0,0,0,0,0,0,2,3,37,2.5,72,51.38,ravinderpahal,dabang,2016
,,,,,,,,,,,,,,,,,,
11,34,9,88.23,34,23.52,0,0,8,0.72,4,2,26,2,58,44.82,ravinderpahal,dabang,2015
,,,,,,,,,,,,,,,,,,
14,64,9,82.35,17,23.52,0,0,4,0.28,7,5,60,3.78,96,62.5,ravinderpahal,dabang,2014
,,,,,,,,,,,,,,,,,,
9,29,7,0,0,0,0,0,0,0,0,3,29,3.22,64,45.31,ravinderpahal,dabang,2013
,,,,,,,,,,,,,,,,,,
18,30,4,77.77,9,11.11,0,0,1,0.05,4,0,29,1.38,60,48.33,anilkumardd,dabang,2018
,,,,,,,,,,,,,,,,,,
5,1,1,100,4,0,0,0,0,0,0,0,1,0.2,3,33.33,anilkumardd,dabang,2017
,,,,,,,,,,,,,,,,,,
4,2,2,100,2,0,0,0,0,0,0,0,2,0.5,7,28.57,anilkumardd,dabang,2016
,,,,,,,,,,,,,,,,,,
11,21,4,80,15,13.33,0,0,2,0.18,0,0,19,1.72,51,37.25,anilkumardd,dabang,2015
,,,,,,,,,,,,,,,,,,
4,1,1,0,0,0,0,0,0,0,0,0,1,0.25,8,12.5,sombirdd,dabang,2018
,,,,,,,,,,,,,,,,,,
17,39,10,0,0,0,0,0,0,0,6,2,39,1.94,84,46.42,sombirdd,dabang,2017
,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,sombirdd,dabang,2016
,,,,,,,,,,,,,,,,,,
19,97,15,77.46,213,44.13,6,2,94,4.94,0,0,3,0.15,16,18.75,merajdd,dabang,2018
,,,,,,,,,,,,,,,,,,
20,104,14,82.53,292,32.87,3,2,96,4.8,0,0,8,0.4,37,21.62,merajdd,dabang,2017
,,,,,,,,,,,,,,,,,,
14,75,11,85.39,178,35.39,4,0,63,4.5,3,0,12,0.64,30,40,merajdd,dabang,2016
,,,,,,,,,,,,,,,,,,
14,48,11,71.42,70,38.57,0,0,27,1.92,3,0,21,1.28,38,55.26,merajdd,dabang,2015
,,,,,,,,,,,,,,,,,,
15,38,11,62.79,43,67.44,3,1,29,1.93,0,0,9,0.6,23,39.13,merajdd,dabang,2014
,,,,,,,,,,,,,,,,,,
21,73,8,81.08,111,54.05,0,0,60,2.85,1,0,13,0.57,44,29.54,vijaydd,dabang,2018
,,,,,,,,,,,,,,,,,,
19,64,7,89.15,83,32.53,1,0,27,1.42,3,1,37,1.78,83,44.57,vijaydd,dabang,2017
,,,,,,,,,,,,,,,,,,
19,61,9,77.63,152,38.15,2,0,58,3.05,0,0,3,0.15,19,15.78,rogitgulia,gf,2018
,,,,,,,,,,,,,,,,,,
19,38,9,78.12,160,21.87,0,0,35,1.84,0,0,3,0.15,20,15,rogitgulia,gf,2017
,,,,,,,,,,,,,,,,,,
10,25,5,75.32,77,29.87,2,0,23,2.3,0,0,2,0.2,7,28.57,abolfazl,gf,2018
,,,,,,,,,,,,,,,,,,
19,97,11,79.56,230,39.56,0,0,91,4.78,1,0,6,0.26,14,42.85,abolfazl,gf,2017
,,,,,,,,,,,,,,,,,,
9,25,9,62.16,37,67.56,2,0,25,2.77,0,0,0,0,1,0,abolfazl,gf,2016
,,,,,,,,,,,,,,,,,,
3,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,abolfazl,gf,2015
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gurvinder,gf,2018
,,,,,,,,,,,,,,,,,,
9,24,7,78.37,37,45.94,1,0,17,1.88,0,0,7,0.77,20,35,gurvinder,gf,2017
,,,,,,,,,,,,,,,,,,
6,4,1,76.47,17,23.52,0,0,4,0.66,0,0,0,0,5,0,gurvinder,gf,2016
,,,,,,,,,,,,,,,,,,
5,6,4,83.33,12,33.33,0,0,4,0.8,0,0,2,0.4,5,40,gurvinder,gf,2015
,,,,,,,,,,,,,,,,,,
16,49,11,76.11,134,32.83,1,1,44,2.75,0,0,5,0.31,22,22.72,gurvinder,gf,2014
,,,,,,,,,,,,,,,,,,
7,13,5,61.11,18,50,0,0,9,1.28,1,0,4,0.42,13,30.76,gurvinder,gf,2013
,,,,,,,,,,,,,,,,,,
3,7,5,42.85,7,42.85,0,0,3,1,1,0,4,1,4,100,lalitchau,gf,2018
,,,,,,,,,,,,,,,,,,
22,91,13,71.51,172,45.93,1,2,79,3.59,2,0,12,0.45,21,57.14,moregb,gf,2018
,,,,,,,,,,,,,,,,,,
6,16,6,66.66,45,31.11,0,0,14,2.33,0,0,2,0.33,3,66.66,moregb,gf,2017
,,,,,,,,,,,,,,,,,,
23,204,12,78.14,366,51.91,1,7,190,8.26,2,0,14,0.52,22,63.63,sachintan,gf,2018
,,,,,,,,,,,,,,,,,,
24,173,14,75.93,295,53.89,2,7,159,6.62,1,0,14,0.54,25,56,sachintan,gf,2017
,,,,,,,,,,,,,,,,,,
