Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team
5,7,3,0,0,0,0,0,0,0,0,0,7,1.4,21,33.33,sanket,pune
,,,,,,,,,,,,,,,,,
14,31,6,0,0,0,0,0,0,0,3,1,31,2,76,40.78,grishmaru,pune
,,,,,,,,,,,,,,,,,
5,13,5,56,25,44,0,0,11,2.2,1,0,2,0.2,2,100,amitpune,pune
,,,,,,,,,,,,,,,,,
11,14,7,0,0,0,0,0,0,0,3,1,14,1,27,51.85,sagerpune,pune
,,,,,,,,,,,,,,,,,
13,58,11,74.85,171,33.91,2,1,58,4.46,0,0,0,0,5,0,ajaytak,tn
,,,,,,,,,,,,,,,,,
5,6,4,61.53,13,46.15,1,0,6,1.2,0,0,0,0,3,0,anandp,tn
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
19,125,14,72.62,274,42.7,0,4,117,6.15,0,0,8,0.42,28,28.57,rahulchau,tn
,,,,,,,,,,,,,,,,,
14,29,5,87.09,93,23.65,0,0,22,1.57,1,0,7,0.42,22,31.81,shabba,tn
,,,,,,,,,,,,,,,,,
16,91,18,68.94,161,56.52,1,3,91,5.68,0,0,0,0,9,0,vajith,tn
,,,,,,,,,,,,,,,,,
11,16,5,68.42,19,47.36,0,0,9,0.81,1,0,7,0.54,14,50,vineetsh,tn
,,,,,,,,,,,,,,,,,
14,14,3,0,0,0,0,0,0,0,1,0,14,0.92,51,27.45,ajeet,tn
,,,,,,,,,,,,,,,,,
6,8,3,0,0,0,0,0,0,0,0,0,8,1.33,23,34.78,mabhi,tn
,,,,,,,,,,,,,,,,,
6,3,1,0,0,0,0,0,0,0,0,0,3,0.5,13,23.07,ponparthiban,tn
,,,,,,,,,,,,,,,,,
18,37,5,100,2,0,0,0,0,0,3,1,37,1.88,81,45.67,mohitchi,tn
,,,,,,,,,,,,,,,,,
10,10,3,0,1,0,0,0,0,0,1,0,10,0.9,21,47.61,sagartn,tn
,,,,,,,,,,,,,,,,,
15,41,6,68.42,19,21.05,0,0,4,0.26,2,2,37,2.33,81,45.67,manjeetchhil,tn
,,,,,,,,,,,,,,,,,
18,37,4,71.42,14,64.28,0,0,9,0.5,1,0,28,1.5,65,43.07,ransingh,tn
,,,,,,,,,,,,,,,,,
3,8,5,75,8,75,0,0,6,2,1,0,2,0.33,5,40,victor,tn
,,,,,,,,,,,,,,,,,
18,40,5,66.66,6,16.66,0,0,1,0.05,3,1,39,2,87,44.82,aboz,telugu
,,,,,,,,,,,,,,,,,
9,13,3,93.61,47,6.38,0,0,3,0.33,2,0,10,0.88,21,47.61,amittel,telugu
,,,,,,,,,,,,,,,,,
3,2,2,75,8,0,0,0,0,0,0,0,2,0.66,6,33.33,kamal,telugu
,,,,,,,,,,,,,,,,,
10,45,11,77.52,89,48.31,1,2,43,4.3,0,0,2,0.2,7,28.57,ranish,telugu
,,,,,,,,,,,,,,,,,
18,177,23,72.79,272,63.97,6,7,174,9.66,0,0,3,0.16,6,50,siddharth,telugu
,,,,,,,,,,,,,,,,,
12,45,18,69.9,103,42.71,1,1,44,3.66,0,0,1,0.08,7,14.28,suraj,telugu
,,,,,,,,,,,,,,,,,
18,23,6,100,3,66.66,0,0,2,0.11,3,1,21,1,59,35.59,carun,telugu
,,,,,,,,,,,,,,,,,
9,6,2,100,10,0,0,0,0,0,0,0,6,0.66,18,33.33,krush,telugu
,,,,,,,,,,,,,,,,,
18,61,8,100,14,0,0,0,0,0,9,5,61,2.88,105,58.09,bharad,telugu
,,,,,,,,,,,,,,,,,
6,9,4,59.37,32,28.12,1,0,9,1.5,0,0,0,0,7,0,armaan,telugu
,,,,,,,,,,,,,,,,,
18,52,5,84.5,71,35.21,0,0,25,1.38,0,0,27,1.5,66,40.9,farad,telugu
,,,,,,,,,,,,,,,,,
19,62,6,92.3,13,15.38,0,0,2,0.1,3,2,60,3,104,57.68,fazel,mumba
,,,,,,,,,,,,,,,,,
16,109,13,81.62,234,46.15,2,6,108,6.75,0,0,1,0.06,12,8.33,abhihmumb,mumba
,,,,,,,,,,,,,,,,,
16,78,15,75.67,148,51.35,2,2,76,4.75,0,0,2,0.12,5,40,arjundes,mumba
,,,,,,,,,,,,,,,,,
14,45,9,65.42,107,42.05,0,0,45,3.21,0,0,0,0,4,0,athul,mumba
,,,,,,,,,,,,,,,,,
4,10,6,72,25,40,0,0,10,2.5,0,0,0,0,0,0,dongge,mumba
,,,,,,,,,,,,,,,,,
15,46,9,79.38,131,32.06,2,0,42,2.8,1,0,4,0.2,11,36.36,baliyan,mumba
,,,,,,,,,,,,,,,,,
1,0,0,50,4,0,0,0,0,0,0,0,0,0,1,0,vinodk,mumba
,,,,,,,,,,,,,,,,,
5,2,2,100,2,0,0,0,0,0,0,0,2,0.4,6,33.33,rajaguru,mumba
