,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
112,4,5,3.0,45.45,11.0,18.18,0.0,0.0,2.0,0.5,1.0,0.0,3.0,0.5,2.0,150.0,lalitchau,gf,2.0,100.0,1.9997999999999998,0,0
114,16,60,9.0,75.0,132.0,30.3,0.0,0.0,40.0,2.5,1.0,0.0,20.0,1.18,33.0,60.6,moregb,gf,19.0,57.57575757575758,39.996,0,0
116,16,85,10.0,72.46,207.0,40.57,1.0,2.0,84.0,5.25,0.0,0.0,1.0,0.06,8.0,12.5,sachintan,gf,1.0,12.5,83.9799,0,0
118,13,33,8.0,72.46,69.0,42.02,3.0,0.0,29.0,2.23,1.0,0.0,4.0,0.23,4.0,100.0,sonugf,gf,3.0,75.0,28.9938,0,0
120,12,13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.91,31.0,41.93,ankitgf,gf,11.0,35.483870967741936,0.0,0,0
122,18,40,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,40.0,2.11,76.0,52.63,parvesh,gf,38.0,50.0,0.0,0,0
124,14,15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,32.0,46.87,sumitgf,gf,14.0,43.75,0.0,0,0
126,13,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.76,35.0,28.57,ruturaj,gf,10.0,28.57142857142857,0.0,0,0
128,18,47,7.0,100.0,13.0,7.69,0.0,0.0,1.0,0.05,6.0,4.0,46.0,2.22,86.0,53.48,sunilkumargf,gf,40.0,46.51162790697674,0.9997,0,0
130,7,16,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.28,31.0,51.61,pankajgf,gf,16.0,51.61290322580645,0.0,0,0
132,7,7,3.0,68.18,22.0,27.27,0.0,0.0,6.0,0.85,0.0,0.0,1.0,0.14,4.0,25.0,vinodkgf,gf,1.0,25.0,5.9994,0,0
134,15,38,5.0,93.75,16.0,12.5,0.0,0.0,2.0,0.13,3.0,1.0,36.0,2.2,75.0,48.0,dharmarajc,hs,33.0,44.0,2.0,0,0
136,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amirhossein,hs,0.0,0.0,0.0,0,0
138,2,2,2.0,25.0,4.0,50.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,arunkumar,hs,0.0,0.0,2.0,0,0
140,13,58,14.0,72.56,113.0,49.55,1.0,1.0,56.0,4.3,0.0,0.0,2.0,0.15,8.0,25.0,naveenhs,hs,2.0,25.0,55.991499999999995,0,0
142,11,46,10.0,76.0,75.0,61.33,0.0,1.0,46.0,4.18,0.0,0.0,0.0,0.0,5.0,0.0,prashanth,hs,0.0,0.0,45.9975,0,0
144,6,12,5.0,71.42,35.0,28.57,1.0,0.0,10.0,1.66,0.0,0.0,2.0,0.33,3.0,66.66,selvamani,hs,2.0,66.66666666666666,9.999500000000001,0,0
146,1,1,1.0,50.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,vikasc,hs,0.0,0.0,1.0,0,0
148,16,157,13.0,81.62,320.0,47.81,6.0,9.0,153.0,9.56,0.0,0.0,4.0,0.25,15.0,26.6,vikashk,hs,4.0,26.666666666666668,152.99200000000002,0,0
150,17,84,14.0,80.72,166.0,48.19,5.0,2.0,80.0,4.7,0.0,0.0,4.0,0.23,16.0,25.0,vinayhs,hs,4.0,25.0,79.9954,0,0
