36.0,57.0,5.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,57.0,1.5,156.0,36.53,ruturaj,gf
68.0,182.0,8.0,97.36,76.0,3.94,0.0,0.0,3.0,0.04,12.0,10.0,179.0,2.45,331.0,54.07,sunilkumargf,gf
21.0,33.0,6.0,57.14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.57,83.0,39.75,pankajgf,gf
45.0,106.0,8.0,76.36,165.0,37.57,2.0,0.0,62.0,1.37,9.0,2.0,44.0,0.77,68.0,64.7,vinodkgf,gf
114.0,294.0,9.0,94.25,174.0,24.13,0.0,0.0,42.0,0.36,24.0,12.0,252.0,2.0,466.0,54.07,dharmarajc,hs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amirhossein,hs
4.0,3.0,2.0,33.33,9.0,33.33,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,arunkumar,hs
34.0,160.0,17.0,75.49,306.0,47.05,5.0,2.0,144.0,4.23,2.0,0.0,16.0,0.41,51.0,31.37,naveenhs,hs
92.0,367.0,16.0,80.38,678.0,52.8,8.0,11.0,358.0,3.89,3.0,0.0,9.0,0.06,46.0,19.56,prashanth,hs
55.0,155.0,11.0,79.03,353.0,42.2,7.0,2.0,149.0,2.7,0.0,0.0,6.0,0.1,28.0,21.42,selvamani,hs
1.0,1.0,1.0,50.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,vikasc,hs
49.0,380.0,15.0,78.82,784.0,47.32,11.0,14.0,371.0,7.57,0.0,0.0,9.0,0.18,34.0,26.47,vikashk,hs
17.0,84.0,14.0,80.72,166.0,48.19,5.0,2.0,80.0,4.7,0.0,0.0,4.0,0.23,16.0,25.0,vinayhs,hs
90.0,150.0,8.0,88.23,34.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,150.0,1.46,329.0,45.59,ravihas,hs
58.0,97.0,6.0,90.9,11.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,97.0,1.53,271.0,35.79,vikaskale,hs
37.0,83.0,6.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,83.0,2.21,213.0,38.96,sunilhs,hs
25.0,32.0,6.0,85.71,7.0,42.85,0.0,0.0,3.0,0.12,6.0,1.0,29.0,0.92,75.0,38.66,parveenhs,hs
3.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,9.0,11.11,vikramkan,hs
7.0,6.0,3.0,100.0,1.0,100.0,0.0,0.0,1.0,0.14,1.0,0.0,5.0,0.57,15.0,33.33,chandsin,hs
36.0,65.0,6.0,66.66,3.0,33.33,0.0,0.0,1.0,0.02,5.0,3.0,64.0,1.63,145.0,44.13,kuldeepsin,hs
3.0,0.0,0.0,66.66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tinphon,hs
123.0,943.0,20.0,81.18,1765.0,48.49,20.0,31.0,856.0,6.95,8.0,4.0,87.0,0.64,231.0,37.66,deepakhooda,jaipur
31.0,94.0,9.0,70.3,229.0,39.3,1.0,0.0,90.0,2.9,1.0,0.0,4.0,0.09,15.0,26.66,ajinka,jaipur
81.0,324.0,15.0,74.35,733.0,42.42,4.0,9.0,311.0,3.83,1.0,0.0,13.0,0.14,46.0,28.26,deepaknar,jaipur
2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gumansin,jaipur
7.0,4.0,2.0,46.15,13.0,15.38,0.0,0.0,2.0,0.28,0.0,0.0,2.0,0.28,3.0,66.66,lokesh,jaipur
79.0,317.0,15.0,78.09,735.0,41.22,9.0,5.0,303.0,3.83,2.0,0.0,14.0,0.15,59.0,23.72,nilesh,jaipur
7.0,20.0,8.0,68.75,48.0,39.58,2.0,0.0,19.0,2.71,0.0,0.0,1.0,0.14,4.0,25.0,sushil,jaipur
15.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.66,38.0,31.57,pavant,jaipur
86.0,239.0,8.0,79.62,54.0,18.51,0.0,0.0,10.0,0.11,18.0,11.0,229.0,2.45,429.0,53.38,amitjaipur,jaipur
3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,10.0,40.0,elavarasan,jaipur
64.0,202.0,8.0,60.0,5.0,20.0,0.0,0.0,1.0,0.01,18.0,13.0,201.0,2.85,389.0,51.67,sandeepdhull,jaipur
42.0,63.0,8.0,89.47,19.0,26.31,0.0,0.0,5.0,0.11,7.0,5.0,58.0,1.21,170.0,34.11,sunilsid,jaipur
45.0,167.0,14.0,78.73,301.0,40.53,6.0,2.0,122.0,2.71,6.0,1.0,45.0,0.86,95.0,47.36,nitinraw,jaipur
12.0,12.0,4.0,73.52,34.0,32.35,1.0,0.0,11.0,0.91,0.0,0.0,1.0,0.08,6.0,16.66,sachinnar,jaipur
32.0,43.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,1.25,105.0,40.95,santhapanaselvam,jaipur
25.0,62.0,9.0,78.57,14.0,21.42,0.0,0.0,3.0,0.12,12.0,2.0,59.0,1.88,123.0,47.96,vishaljai,jaipur
104.0,1108.0,34.0,77.21,1848.0,59.57,50.0,57.0,1101.0,10.58,1.0,0.0,7.0,0.05,34.0,20.58,pardeepnar,patna
7.0,5.0,2.0,50.0,16.0,31.25,0.0,0.0,5.0,0.71,0.0,0.0,0.0,0.0,2.0,0.0,ashishpat,patna
103.0,483.0,15.0,77.96,1021.0,45.05,14.0,9.0,460.0,4.46,3.0,0.0,23.0,0.19,99.0,23.23,jangpat,patna
17.0,38.0,9.0,75.7,107.0,28.97,0.0,0.0,31.0,1.82,2.0,0.0,7.0,0.29,19.0,36.84,mohammadpat,patna
52.0,142.0,7.0,75.0,264.0,28.4,2.0,0.0,75.0,1.44,10.0,1.0,67.0,1.09,119.0,56.3,monupat,patna
6.0,4.0,1.0,75.0,12.0,33.33,0.0,0.0,4.0,0.66,0.0,0.0,0.0,0.0,2.0,0.0,purnapat,patna
36.0,64.0,11.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,64.0,1.63,157.0,40.76,neerajpat,patna
67.0,177.0,7.0,92.3,13.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,177.0,2.49,392.0,45.15,jaideeppat,patna
46.0,65.0,5.0,70.96,31.0,29.03,0.0,0.0,9.0,0.19,6.0,2.0,56.0,1.08,158.0,35.44,jawaharpat,patna
3.0,5.0,4.0,75.0,8.0,62.5,1.0,0.0,5.0,1.66,0.0,0.0,0.0,0.0,1.0,0.0,amitpat,patna
69.0,119.0,5.0,86.53,52.0,28.84,0.0,0.0,15.0,0.21,14.0,3.0,104.0,1.3,237.0,43.88,oshtorakpat,patna
5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.4,8.0,37.5,ravindarpat,patna
46.0,78.0,9.0,78.86,123.0,34.95,2.0,0.0,43.0,0.93,0.0,0.0,35.0,0.76,99.0,35.35,jaglanpat,patna
92.0,275.0,9.0,96.99,133.0,6.76,0.0,0.0,9.0,0.09,16.0,25.0,266.0,2.71,526.0,50.57,surjeetpune,pune
18.0,43.0,9.0,69.66,89.0,28.08,1.0,0.0,25.0,1.38,1.0,0.0,18.0,0.94,40.0,45.0,amitpune,pune
38.0,99.0,10.0,73.5,234.0,37.6,2.0,1.0,88.0,2.31,3.0,0.0,11.0,0.21,42.0,26.19,darshan,pune
41.0,228.0,16.0,74.4,422.0,44.07,5.0,4.0,186.0,4.53,2.0,0.0,42.0,0.97,94.0,44.68,manjeetpune,pune
65.0,447.0,20.0,82.19,910.0,46.92,10.0,14.0,427.0,6.56,2.0,0.0,20.0,0.27,77.0,25.97,nitintom,pune
16.0,113.0,17.0,77.77,207.0,53.14,4.0,3.0,110.0,6.87,0.0,0.0,3.0,0.18,15.0,20.0,pankajmohit,pune
74.0,279.0,17.0,75.49,653.0,42.41,4.0,5.0,277.0,3.74,0.0,0.0,2.0,0.02,37.0,5.4,pawankumar,pune
15.0,36.0,7.0,67.41,89.0,39.32,0.0,0.0,35.0,2.33,0.0,0.0,1.0,0.06,8.0,12.5,sriram,pune
8.0,8.0,3.0,52.17,23.0,34.78,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,sushantsail,pune
7.0,8.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,24.0,33.33,depakya,pune
17.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,29.0,1.41,54.0,53.7,jashavshah,pune
28.0,27.0,4.0,50.0,18.0,27.77,0.0,0.0,5.0,0.17,1.0,0.0,22.0,0.75,68.0,32.35,haditak,pune
23.0,30.0,3.0,89.47,19.0,5.26,0.0,0.0,1.0,0.04,5.0,0.0,29.0,1.04,82.0,35.36,shubham,pune
5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4,21.0,33.33,sanket,pune
103.0,268.0,8.0,92.53,67.0,13.43,1.0,0.0,9.0,0.08,14.0,16.0,259.0,2.37,559.0,46.33,grishmaru,pune
5.0,13.0,5.0,56.0,25.0,44.0,0.0,0.0,11.0,2.2,1.0,0.0,2.0,0.2,2.0,100.0,amitpune,pune
59.0,71.0,7.0,89.47,19.0,5.26,0.0,0.0,1.0,0.01,7.0,5.0,70.0,1.06,150.0,46.66,sagerpune,pune
115.0,811.0,20.0,77.53,1687.0,46.82,23.0,29.0,790.0,6.86,0.0,0.0,21.0,0.18,82.0,25.6,ajaytak,tn
8.0,14.0,8.0,70.0,30.0,46.66,1.0,0.0,14.0,1.75,0.0,0.0,0.0,0.0,3.0,0.0,anandp,tn
rahulchau,tn
119.0,1001.0,23.0,79.87,1993.0,47.26,24.0,40.0,942.0,7.91,5.0,0.0,59.0,0.45,185.0,31.89,rahulchau,tn
74.0,236.0,15.0,83.04,637.0,33.43,5.0,5.0,213.0,2.87,7.0,1.0,23.0,0.21,85.0,27.05,shabba,tn
16.0,91.0,18.0,68.94,161.0,56.52,1.0,3.0,91.0,5.68,0.0,0.0,0.0,0.0,9.0,0.0,vajith,tn
41.0,65.0,6.0,79.62,216.0,18.98,0.0,0.0,41.0,1.0,2.0,0.0,24.0,0.53,71.0,33.8,vineetsh,tn
14.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.92,51.0,27.45,ajeet,tn
6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.33,23.0,34.78,mabhi,tn
18.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,1.05,64.0,31.25,ponparthiban,tn
109.0,284.0,8.0,90.62,32.0,21.87,0.0,0.0,7.0,0.06,23.0,18.0,277.0,2.33,555.0,49.9,mohitchi,tn
10.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.9,21.0,47.61,sagartn,tn
108.0,563.0,14.0,81.08,719.0,31.15,5.0,2.0,224.0,2.07,15.0,23.0,339.0,3.0,621.0,54.58,manjeetchhil,tn
117.0,326.0,9.0,80.43,230.0,43.04,4.0,0.0,99.0,0.84,12.0,4.0,227.0,1.83,473.0,47.99,ransingh,tn
6.0,14.0,5.0,66.66,15.0,80.0,0.0,0.0,12.0,2.0,1.0,0.0,2.0,0.16,5.0,40.0,victor,tn
63.0,162.0,6.0,92.1,38.0,5.26,0.0,0.0,2.0,0.03,13.0,7.0,160.0,2.33,301.0,53.15,aboz,telugu
11.0,17.0,3.0,92.59,54.0,7.4,0.0,0.0,4.0,0.36,2.0,0.0,13.0,1.0,29.0,44.82,amittel,telugu
11.0,17.0,6.0,76.74,43.0,30.23,0.0,0.0,13.0,1.18,1.0,0.0,4.0,0.27,12.0,33.33,kamal,telugu
14.0,54.0,11.0,75.65,115.0,45.21,1.0,2.0,52.0,3.71,0.0,0.0,2.0,0.14,10.0,20.0,ranish,telugu
39.0,398.0,23.0,75.37,593.0,66.1,16.0,19.0,392.0,10.05,0.0,0.0,6.0,0.15,15.0,40.0,siddharth,telugu
